date,weekday,rhr(bpm)
7/26/2021,Mon,47
7/27/2021,Tue,48
7/28/2021,Wed,47
7/29/2021,Thu,49
7/30/2021,Fri,48
7/31/2021,Sat,46
8/1/2021,Sun,49
8/2/2021,Mon,49
8/3/2021,Tue,49
8/4/2021,Wed,48
8/5/2021,Thu,53
8/6/2021,Fri,51
8/7/2021,Sat,50
8/8/2021,Sun,48
8/9/2021,Mon,47
8/10/2021,Tue,41
8/11/2021,Wed,47
8/12/2021,Thu,46
8/13/2021,Fri,46
8/14/2021,Sat,48
8/15/2021,Sun,45
8/16/2021,Mon,48
8/17/2021,Tue,44
8/18/2021,Wed,46
8/19/2021,Thu,44
8/20/2021,Fri,45
8/21/2021,Sat,47
8/22/2021,Sun,46
8/23/2021,Mon,43
8/24/2021,Tue,43
8/25/2021,Wed,45
8/26/2021,Thu,44
8/27/2021,Fri,45
8/28/2021,Sat,46
8/29/2021,Sun,49
8/30/2021,Mon,47
8/31/2021,Tue,47
9/1/2021,Wed,41
9/2/2021,Thu,46
9/3/2021,Fri,48
9/4/2021,Sat,45
9/5/2021,Sun,45
9/6/2021,,
9/7/2021,Tue,49
9/8/2021,Wed,46
9/9/2021,Thu,45
9/10/2021,Fri,47
9/11/2021,Sat,47
9/12/2021,Sun,46
9/13/2021,Mon,46
9/14/2021,Tue,49
