weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Friday,3/27/2020,,3/27/2020 6:32,,,5.01,,0:38:51,,,,,,7:45,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,clear,"Barnett Shoals, Old Lexington",Brooks Ghost 11
Saturday,3/28/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday,3/29/2020,,3/29/2020 6:30,,,13.1,,1:46:21,,,,,,8:06,,,,,,,,,,,,,,,,,,Distance,Long Distance,"67, clear, 84% humidity","Barnett Shoals, Ashton Place, Old Lexington, Whit Davis",Brooks Ghost 11
Monday,3/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Train,,,,
Tuesday,3/31/2020,,3/31/2020 6:31,,,6,,45:50:00,,,,,,7:37,,,,,,,,,,,,,,,,,,Steady,Mid Distance,clear,"Barnett Shoals, Ashton Place, Old Lexington",Brooks Ghost 11
Tuesday,3/31/2020,,3/31/2020 15:58,,,1,,0:06:04,,,,,,6:04,,,,,,,,,,,,,,,,,,Tempo,Short Distance,clear,Whitehall Village,Nike Zoom Fly 3
Wednesday,4/1/2020,,4/1/2020 7:03,,,4.3,,0:29:23,,,,,,6:50,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"43,clear","Whitehall Village, Barnett Shoals",Nike Zoom Fly 3
Thursday,4/2/2020,,4/2/2020 6:49,,,5.01,,0:37:44,,,,,,7:32,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"38, clear","Snapfinger, Barnett Shoals",Nike Zoom Fly 3
Friday,4/3/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Saturday,4/4/2020,,4/4/2020 8:48,,,3.29,,0:23:50,,,,,,7:14,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"58, cloudy",Barnett Shoals,Nike Zoom Fly 3
Sunday,4/5/2020,,4/5/2020 6:39,,,12.44,,1:32:37,,,,,,7:27,,,,,,,,,,,,,,,,,,Distance,Long Distance,"55, partly cloudy","College Station, Campus",Nike Zoom Fly 3
Monday,4/6/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Train,,,,
Tuesday,4/7/2020,,4/7/2020 6:43,,,4.24,,0:32:08,,,,,,7:35,,,,,,,,,,,,,,,,,,Track,Short Distance,"62, partly cloudy",Track,Nike Zoom Fly 3
Wednesday,4/8/2020,,4/8/2020 6:37,,,6.01,,0:47:18,,,,,,7:52,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,cloudy,"Barnett Shoals, Ashton Place, Old Lexington",Nike Zoom Fly 3
Thursday,4/9/2020,,4/9/2020 7:22,,,5.01,,0:34:00,,,,,,6:48,,,,,,,,,,,,,,,,,,Steady,Mid Distance,"63, cloudy, 84% humidity","Snapfinger, Barnett Shoals",Nike Zoom Fly 3
Thursday,4/9/2020,,4/9/2020 14:52,,,1.04,,0:07:12,,,,,,6:55,,,,,,,,,,,,,,,,,,Steady,Short Distance,"81, sunny",Whitehall Village,Nike Pegasus 36
Friday,4/10/2020,,4/10/2020 6:18,,,4.07,,0:29:37,,,,,,7:22,,,,,,,,,,,,,,,,,,Steady,Short Distance,"57, partly cloudy, windy","Whitehall Village, Barnett Shoals",Nike Pegasus 36
Saturday,4/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,4/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Monday,4/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,4/14/2020,,4/14/2020 6:02,,,3.78,,0:26:41,,,,,,7:03,,,162,175,,,,,,,,,,,,,,Steady,Short Distance,"50, clear","Barnett Shoals, Whitehall Village",Nike Pegasus 36
Wednesday,4/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,4/16/2020,,,,,4,445,0:29:49,162,175,3.7,156,174,7:27,6:28,177,147,1.38,0,0,0,0,0,29:49:00,0:00,0,0:00,No,00:01.8,5,0,Steady,Short Distance,"37, clear","Barnett Shoals, Whitehall Village",Nike Pegasus 36
Friday,4/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Saturday,4/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,4/19/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Monday,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Tuesday,4/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Wednesday,4/22/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Train,,,,
Thursday,4/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Friday,4/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Train,,,,
Saturday,4/25/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,4/26/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,4/27/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,4/28/2020,Running,4/28/2020 6:57,FALSE,Athens Running,1.19,134,0:08:31,166,181,2.5,152,167,7:09,6:10,139,75,1.48,0,0,0,0,0,08:31.3,0:00,0,0:00,No,01:25.6,2,0,Recovery,Short Distance,,Whitehall Village,Brooks Ghost 11
Tuesday,4/28/2020,Running,4/28/2020 18:30,FALSE,Athens Running,1.2,136,0:08:25,169,186,2.6,152,224,6:59,1:40,134,73,1.52,0,0,0,0,0,08:25.2,0:00,0,0:00,No,01:27.6,2,0,Recovery,Short Distance,,Whitehall Village,Brooks Ghost 11
Wednesday,4/29/2020,Running,4/29/2020 6:38,FALSE,Athens Running,3.11,350,0:20:29,178,192,3.9,154,167,6:35,5:56,114,21,1.58,0,0,0,0,0,20:29,0:00,0,0:00,No,00:46.2,4,0,Tempo,Short Distance,,Barnett Shoals,Brooks Ghost 11
Thursday,4/30/2020,Running,4/30/2020 6:41,FALSE,Athens Running,5.01,641,0:36:19,182,194,5,151,172,7:15,6:14,347,255,1.47,0,0,0,0,0,36:19:00,0:00,0,0:00,No,00:02.2,6,0,Steady,Mid Distance,,"Snapfinger, Barnett Shoals",Brooks Ghost 11
Friday,5/1/2020,Running,5/1/2020 6:29,FALSE,Athens Running,3.7,426,0:27:43,163,181,3.6,151,181,7:29,5:40,167,99,1.43,0,0,0,0,0,27:43:00,0:00,0,0:00,No,05:06.2,4,0,Recovery,Short Distance,"48, clear","Whitehall Village, Barnett Shoals",Nike Zoom Fly 3
Saturday,5/2/2020,Running,5/2/2020 10:52,FALSE,Athens Running,1.42,146,0:09:48,160,171,2.3,153,201,6:54,3:57,49,45,1.52,0,0,0,0,0,09:48.3,0:00,0,0:00,No,02:52.3,2,0,Recovery,Short Distance,"70, sunny",IM Fields,Barefoot
Sunday,5/3/2020,Running,5/3/2020 7:03,FALSE,Athens Running,8.01,962,1:01:12,169,181,4.6,148,158,7:39,6:51,506,463,1.42,0,0,0,0,0,1:01:12,0:00,0,0:00,No,00:02.9,9,0,Distance,Long Distance,"54, sunny","Barnett Shoals, Ashton Place, Old Lexington",Brooks Ghost 11
Monday,5/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest/Cross Train,,,,
Tuesday,5/5/2020,Running,5/5/2020 6:47,FALSE,Athens Running,3.92,485,0:29:51,173,191,3.9,145,178,7:36,5:02,88,90,1.42,0,0,0,0,0,29:51:00,0:00,0,0:00,No,01:15.1,13,0,Track,Short Distance,"64,sunny",Track,Nike Pegasus 36
Wednesday,5/6/2020,Running,5/6/2020 6:22,FALSE,Athens Running,5,593,0:36:41,171,186,4,153,170,7:20,6:05,313,290,1.43,0,0,0,0,0,36:41:00,0:00,0,0:00,No,00:00.5,6,0,Recovery,Mid Distance,"54, clear","Snapfinger, Barnett Shoals",Brooks Ghost 11
Thursday,5/7/2020,Running,5/7/2020 6:45,FALSE,Athens Running,3.67,396,0:25:57,165,183,3.3,155,184,7:04,4:52,89,102,1.44,0,0,0,0,0,25:57:00,0:00,0,0:00,No,00:01.1,13,0,Track,Short Distance,,Track,Nike Pegasus 36
Friday,5/8/2020,Running,5/8/2020 6:32,FALSE,Athens Running,3.11,355,0:22:21,167,180,3.3,156,169,7:11,6:06,165,75,1.44,0,0,0,0,0,22:21,0:00,0,0:00,No,00:49.8,4,0,Recovery,Short Distance,,Barnett Shoals,Brooks Ghost 11
Saturday,5/9/2020,Running,5/9/2020 7:08,FALSE,Athens Running,10.01,"1,090",1:15:52,160,177,4,153,172,7:35,5:53,610,589,1.39,0,0,0,0,0,1:15:52,0:00,0,0:00,No,00:02.0,11,0,Distance,Long Distance,,"Snapfinger, Ashton Place, Old Lexington",Nike Zoom Fly 3
Sunday,5/10/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,
Monday,5/11/2020,Running,5/11/2020 6:24,FALSE,Athens Running,5,554,0:35:23,164,181,3.6,156,180,7:04,5:58,239,226,1.46,0,0,0,0,0,35:23:00,0:00,0,0:00,No,00:00.9,6,0,Steady,Mid DIstance,"52,clear","Snapfinger, Barnett Shoals",Brooks Ghost 11
Tuesday,5/12/2020,Running,5/12/2020 6:34,FALSE,Athens Running,4.2,460,0:30:13,163,184,3.4,157,194,7:12,4:21,80,78,1.4,0,0,0,0,0,30:13:00,0:00,0,0:00,No,00:01.1,21,0,Track,Short Distance,"43, clear",Track,Nike Pegasus 36
Wednesday,5/13/2020,Running,5/13/2020 6:23,FALSE,Athens Running,5.01,594,0:36:31,167,178,3.8,155,174,7:18,6:22,310,279,1.42,0,0,0,0,0,36:31:00,0:00,0,0:00,No,00:00.8,6,0,Recovery,Mid DIstance,"54, cloudy","Snapfinger, Barnett Shoals",Brooks Ghost 11
Thursday,5/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Friday,5/15/2020,Running,5/15/2020 6:45,FALSE,Athens Running,4.4,519,0:32:21,169,186,3.7,156,192,7:21,4:33,142,145,1.38,0,0,0,0,0,32:21:00,0:00,0,0:00,No,00:34.3,20,0,Track,Short Distance,"57,clear",Track,Brooks Ghost 11
Saturday,5/16/2020,Running,5/16/2020 9:42,FALSE,Athens Running,2.01,202,0:13:05,161,182,2.6,162,199,6:31,4:21,152,131,1.52,0,0,0,0,0,13:05,0:00,0,0:00,No,00:02.3,3,0,Recovery,Short Distance,"75,sunny",IM Fields,Barefoot
